Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
On October 5, Mr Tsang will attend the Hong Kong Trade Development Council annual dinner and update the business community on Hong Kong's financial landscape.	曾俊华于十月五日出席香港贸易发展局在当地的周年晚宴，并向当地商界概述香港的财经现况。
Mr Tsang will fly to London on Thursday to speak at the HKTDC annual dinner.	曾俊华于星期四转抵伦敦，出席贸发局的周年晚宴并发表演说。
The meeting with the Treasurer of New South Wales, Mr Andrew Constance, came after the forum.	论坛过后，曾俊华与新南威尔斯财政厅厅长Andrew Constance会面。
Victory Building, Tuen Mun	屯门好胜大厦
It is a starting point, not an end point.	这只是一个起点，不是终点。
This set of tax and short-term relief measures, together with other spending initiatives in the Budget, will have a fiscal stimulus effect of boosting gross domestic product (GDP) for 2017 by 1.1 per cent. One-off relief measures include:	《财政预算案》推出的税务和短期纾缓措施，连同其他的支出，可为二零一七年的本地生产总值提供百分之一点一的提振作用。 当中一次性的措施包括：
* some $200 million to raise subsidies for places under the Enhanced Bought Place Scheme and the Nursing Home Place Purchase Scheme and to enhance continuum of care services;	＊　增拨二亿多元，提高所有「改善买位计划」和「护养院宿位买位计划」宿位的资助额，加强对长者的照顾和支援；
Financial Secretary:	财政司司长：
Issues discussed today included the global economic outlook, with particular focus on the European debt crisis, and the contribution of resources to the European Financial Stability Facility (EFSF).	今日讨论的主要议题包括全球经济，特别是欧债危机及各国向欧洲金融稳定基金注资的事宜。
The Committee plans to cover a range of areas to enhance the local I&T environment and promote re-industrialisation in Hong Kong.	委员会的讨论将涵盖不同范畴，以优化本地创科环境及推动香港再工业化的进程。
The membership of the SFC Advisory Committee is as follows:	证监会咨询委员会委员名单如下：
Ends/Wednesday, February 1, 2012Issued at HKT 18:25	２０１２年２月１日（星期三）香港时间２１时３５分
To that, he added an additional recurrent expenditure of $2 billion for a variety of initiatives, including enhancing the professional development of teachers, strengthening support to kindergartens and promoting integrated education and life-wide learning.	他建议再增拨20亿元的经常开支，推行各项措施，包括提升教师专业发展、加强支援幼稚园，以及推动融合教育和全方位学习。
Our economy has achieved a cumulative growth of 19 per cent in real terms over the past five years of extreme volatility, and per capita Gross Domestic Product (GDP) reached an all-time high of US$34,200.5.	我们在过去极不稳定的五年间累积了百分之十九的实质经济增长，人均生产总值也升到三万四千二百美元的历史新高。
I welcome the IMD's high regard of Hong Kong, which is a clear recognition of our steadfast fiscal discipline, as well as the incessant effort we put into building a favourable business environment and a robust financial system.	我感谢瑞士洛桑国际管理发展学院对香港的高度评价。 这是对我们在恪守财政纪律、致力营造良好营商环境，以及构建稳健金融体系方面所作出努力的充分肯定。」
The proposed tax reduction is not applicable to property tax. Nevertheless, individuals with rental income, if eligible for personal assessment, may be able to enjoy such reduction under personal assessment.	今次的宽减并不适用于物业税，但赚取租金收入的人士，如符合资格，或可通过选择个人入息课税而获得宽减。
The Financial Secretary, Mr John C Tsang, today (July 31) started his visit to Wuhan in Hubei Province.	财政司司长曾俊华今日（七月三十一日）展开在湖北省武汉的访问行程。
Supplement X is the supplement which contains the greatest number of measures since CEPA was signed in 2003. Some measures are more liberalised than those contained in recent years' supplements and some have been much sought-after by the trade for years.	《补充协议十》，是自二○○三年《安排》签署以来，涵盖最多措施的补充协议，部分措施在开放力度上超过了近年的补充协议，有些更是业界殷切期待多年的。
The Financial Secretary proposed a 75 per cent reduction of profits tax, salaries tax and tax under personal assessment for the year of assessment 2017-18, subject to a ceiling of $30,000 per case.	财政司司长建议一次性宽减二零一七／一八课税年度百分之七十五的利得税、薪俸税及个人入息课税税款，每宗个案以30,000元为上限。
Mr Tsang said that to gauge public views of and aspirations for the city, professional opinion surveys, sectoral consultation sessions, focus groups and vision co-creation workshops were held between May 2008  and April 2009.	曾俊华表示，为了解香港市民对这个城市的看法和期望，政府从二零零八年五月到二零零九年四月，举行了一系列的专业民意调查、不同界别咨询会、核心小组讨论、共创愿景工作坊等，收集公众的意见和期望。
According to the study report, Hong Kong scores exceptionally well in almost all areas of economic freedom.	根据该报告，香港几乎在全部反映经济自由范畴中获得极优越的评分。
To boost the aviation industry, and following completion of the Hong Kong-Zhuhai-Macao Bridge, the Government will look at how to better connect Hong Kong and the Pearl River Delta region.	政府将研究在港珠澳大桥通车后，加强以不同方式连接香港及珠三角地区，包括利用跨境直升机服务，以促进航空业的发展。
The $300 million Youth Development Fund set up by the Hong Kong SAR Government would provide funding to Hong Kong young people to set up business in places including the areas outside Hong Kong like Macau and the Mainland.	特区政府已推出总额达三亿港元的「青年发展基金」，资助香港青年到包括澳门和内地的香港以外地区开拓业务。
Thank you for your questions.	很多谢你这个问题。
I believe that under the leadership of the Chief Executive, the entire team of senior officials will continue to endeavour to serve Hong Kong for the remaining term of this Government, and will continue to work relentlessly for our city's social and economic future.	本届政府尚有半年的任期，我相信在行政长官的带领之下，特区政府问责官员团队必定会继续紧守岗位，利用每一分每一秒做好工作，为香港的社会和经济发展努力。
The International Monetary Fund (IMF) released a Staff Report today (January 13) which, substantiated by a more detailed analysis, reinforces the conclusions of its assessment of Hong Kong's economic and financial positions published on December 7, 2016.	国际货币基金组织（基金组织）今日（一月十三日）公布具详细分析的评估报告，再次肯定其在二零一六年十二月七日就香港经济及金融状况发出的初步总结。
Budget Speech by the Financial Secretary (3)	财政司司长财政预算案演辞（三）
Both sides looked forward to further collaboration between Hong Kong and Ireland in financial services, trade and other sectors.	双方期待进一步推进两地在金融服务、贸易和其他方面的合作。
On social services, Hong Kong service suppliers will be allowed to operate elderly service agencies in the mode of wholly owned private non-enterprise units to provide home care services for the elderly in Guangdong Province.	社会服务方面，允许香港服务提供者以独资民办非企业单位形式在广东省设立居家养老服务机构。
Participation in the Annual Meetings enables Hong Kong to gain a deeper understanding of the changing global economic landscape.	香港参与其中，可更深入了解不断转变的全球经济形势。
Addressing about 300 business representatives at an HKTDC networking luncheon, Mr Tsang pointed out that the grand and visionary Belt and Road Initiative will be the driving force of the global economy in the 21st century.	在贸发局的香港经贸交流午宴上，曾俊华向约三百位商界代表指出，目标宏大的「一带一路」策略将成为廿一世纪环球经济的发展动力。
Ends/Wednesday, July 28, 2010Issued at HKT 19:11	２０１０年７月２８日（星期三）香港时间１９时１２分
This was followed by a meeting with the Head of the Federal Service for Financial Markets of the Russian Federation, Mr Dmitry Pankin. The meeting mainly covered investor education and work to combat insider trading.	其后，曾俊华又与俄罗斯金融市场服务部主管Dmitry Pankin举行会议，双方讨论投资者教育和打击内幕交易的工作。
The forum concluded with closing remarks by Professor He Dexu and the Acting Secretary for Commerce and Economic Development, Dr Bernard Chan.	最后，由何德旭教授及署理商务及经济发展局局长陈百里博士为论坛作总结。
The exchange will not affect the operation of the departments concerned.	有关部门的运作不会受影响。
The Taiwan side supports the setting up of an office in Taipei by the Hong Kong Tourism Board to strengthen our tourism promotion work in Taiwan.	台方支持香港旅游发展局在台北正式成立办事处，以加强我们在台湾的旅游推广工作。
In drafting this Budget, I have been careful to ensure that all strata of the community get some benefits. I am particularly concerned about those in the lower-income group, and the pressures brought about by inflation.	在制订这份预算案时，我着意要让全港各阶层受惠，特别是低收入阶层，我明白他们的困境及通胀带来的生活压力。
"Mr Lie is an experienced businessman who possesses good knowledge of the markets in the Mainland, Hong Kong and Taiwan, and has established extensive network in the three places.	「李大壮为商界人士，拥有营商丰富经验，对两岸三地的市场均相当熟悉，并有广大的人脉网络。
Services provided include homework guidance, skills learning and other social activities.	计划内容包括功课辅导、技能学习和其他社交活动。
The conference is organised by the Companies Registry (CR) with the theme of "Corporate Registries - Challenges and Opportunities, Today and Tomorrow".	是次会议由公司注册处筹办，会议主题为「跨越挑战，掌握机遇： 公司注册的现在与未来」。
The Mission assesses that the current fiscal stance of the Government is appropriate, and the financial system of Hong Kong is well placed to cope with the challenges ahead.	代表团认为现时的财政政策恰当，香港的金融体系亦具备足够条件应对未来挑战。
"The Hong Kong Special Administrative Region (HKSAR) Government, all financial regulators and financial institutions have all along put in place contingency plans to deal with various unexpected situations so as to ensure the core functions of the financial system can maintain normal operations and to minimise any impact," Mr Tsang said.	曾俊华表示： 「香港特区政府、各监管机构、金融机构一直有应变方案，以在不同的突发情况下，维持金融体系的核心功能正常运作，把影响减至最低。」
It advises the Financial Secretary on amendments to the Companies Ordinance and the Companies (Winding Up and Miscellaneous Provisions) Ordinance, as well as amendments to the Securities and Futures Ordinance, on matters relating to corporate governance and shareholders’ protection, as and when necessary.	常委会在一九八四年成立，其职能是就《公司条例》和《公司（清盘及杂项条文）条例》的修订，以及就《证券及期货条例》当中有关企业管治和保障股东事宜的修订，按需要向财政司司长提供意见。
His next stop will be Honolulu, where he will attend the Asia-Pacific Economic Cooperation Finance Ministers' Meeting on November 9 and 10.	曾俊华继而转往檀香山，于十一月九日及十日出席亚太区经济合作组织（亚太经合组织）财长会议。
He said the most effective medium to long term solution to the property market problems was ensuring steady and adequate land supply.	他说，处理中长期楼市问题应从根本着手，确保足够土地供应。
Mr Tsang said the Government would implement the Hong Kong Science Park Phase 3 development for completion in phases between 2013 and 2016.	曾俊华说，政府决定落实科学园第三期发展计划，预期可在二○一三至二○一六年陆续完成。
The Financial Secretary has set aside an additional $50 billion to support Hong Kong's I&T development in key areas such as biotechnology, artificial intelligence, smart city and financial technologies (Fintech).	财政司司长预留额外500亿元支持香港创新科技的发展，聚焦在生物科技、人工智能、智慧城市和金融科技四大范畴。
On measures to address long waiting times at out-patient clinics, Dr Leung said service quotas of General Outpatient Clinics will be increased alongside new initiatives in the waiting time management of Special Outpatient Departments to improve transparency and facilitate cross-cluster referral.	对于门诊轮候时间的问题，梁医生强调来年会增加普通科门诊的服务名额，同时亦会优化专科门诊轮候时间的管理，其中包括公开轮候时间及推行跨网转介安排，缩短病人在专科门诊的轮候时间。
Ends/Tuesday, June 13, 2017	2017年6月13日（星期二）
Total government revenue for 2016-17 is estimated to be $500 billion, of which earnings and profits tax is estimated at $206 billion.	二零一六／一七年度的政府总收入预计为5,000亿元。
Lei Muk Shue Shopping Centre, Tsuen Wan	荃湾梨木树商场 葵涌商场
For the first quarter of 2013-14, i.e. April to June 2013, the Government will tender seven residential sites, two in Tuen Mun, two in Tseung Kwan O, and one each in Ho Man Tin, Sha Tin and on Lantau Island, which could provide about 2,400 flats in total.	在二○一三至一四年度第一季度，即二○一三年四月至六月，政府将招标出售七幅住宅用地，分别为两幅位于屯门、两幅位于将军澳、一幅位于何文田、一幅位于沙田和一幅位于大屿山，共可提供约二千四百个单位。
Noting that the Government will study the implementation of the Mainland and Hong Kong Closer Economic Partnership Arrangement (CEPA) in Chongqing, Mr Tsang said that Hong Kong should grasp the opportunities offered by western China's vast market.	曾俊华表示特区政府已正式启动《内地与香港关于建立更紧密经贸关系的安排》在重庆实施情况的调研，港商应把握机遇，开拓西部市场。
The Financial Secretary, Mr John C Tsang, today (July 21) arrived in Fujian Province for his three-day visit to Fuzhou and Xiamen.	财政司司长曾俊华今日（七月二十一日）抵达福建省，在福州和厦门访问三天。
He will then head to Changsha in Hunan Province for the second stop in his visit.	他于明日稍后转往湖南省长沙，继续第二站的访问行程。
He also said $8 billion would be used to redevelop Kwai Chung Hospital to strengthen care and support for mentally ill patients.	他又说，会动用八十亿元重建葵涌医院，加强对精神病患者的照顾及支援。
FS visits Brasilia (with photos)	财政司司长访问巴西利亚（附图）
In the afternoon, Mr Chan took part in the opening ceremony and business session of the Annual Meeting.	下午，他参与了年会的开幕仪式和业务会议。
In the short and medium term, relief measures will help alleviate the burden on those in need.	中短期则提出纾困措施协助有需要的社群。
In December 2005 - June 2007, Mr. Chan joined the Standard Chartered Bank as Vice Chairman, Asia.	二零零五年十二月至二零零七年六月，他出任渣打银行亚洲区副主席一职。
Ends/Friday, August 13, 2010Issued at HKT 18:22	２０１０年８月１３日（星期五）香港时间１８时１５分
The Chief Executive announced in the 2010-11 Policy Address the establishment of the Service Corps to provide financial support for youths aged between 18 and 29 to serve in underprivileged areas on the Mainland for six to 12 months. With an aim to develop young people's tenacity and potential, the Service Corps programme encourages young Hong Kong people to serve others and contribute to their mother country, with a view to enhancing their understanding of the motherland and promoting the spirit of volunteerism.	行政长官于二○一○至一一年度的《施政报告》中，提出设立「香港青年服务团」，资助十八至二十九岁的青年人到内地贫困地区服务六至十二个月，以锻炼香港青年的意志、发展他们的潜能，及鼓励他们服务他人，贡献国家，从而加深他们对国家的认识，并同时推广义务工作的精神。
Ends/Friday, March 27, 2015Issued at HKT 17:00	２０１５年３月２７日（星期五）香港时间１７时００分
In addition, a publication entitled "Art and Culture@Hong Kong" was made available free of charge to the Taiwan community to promote the art and culture of Hong Kong.	此外，港方出版了介绍香港文化艺术的《艺行＠香港》刊物，免费向台湾民众派发。
Mr Tsang earmarked additional funding to bring the level of uncommitted funds under the scheme back to $1 billion to support applications for the second batch of historic buildings in the first half of this year.	他建议使活化计划的承担总额重回10亿元，让第二批历史建筑可如期在今年上半年接受申请。
When an enquiry case arises, the FRC will appoint one convenor and four or more members from the FRRP to form a Financial Reporting Review Committee which will enquire into the relevant non-compliance of the case.	遇有需要查讯的案件，财务汇报局会从委员团委任一名召集人及四名或以上的成员组成财务汇报检讨委员会，就有关不遵从规定的事宜，进行查讯。
The Financial Secretary said recurrent expenditure on education would increase by 7 per cent to nearly $60 billion in 2012-13.     This includes earmarking $1 billion to implement a new programme modelled on Project Yi Jin under the new senior secondary academic structure.	财政司司长说，二○一二至一三年度的教育经常开支，会增加至差不多600亿元，增幅达百分之七。 这包括预留10亿元在新高中学制下推行一个以「毅进计划」为蓝本的新课程。
Essentially the theory means delivering relatively simple, convenient and low-cost innovations to customers who do not necessarily need the latest technology to, for example, make a phone call or take a photograph.	简而言之，有关理论就是为不需要最先进科技的客户，提供较为简单方便及价格低廉的创新产品，例如电话和相机等。
Mr Chan said that given the many major infrastructure projects in the pipeline in Hong Kong, the CIC has forecast that the public and private sector construction projects will cost over $250 billion annually in the next 10 years.	陈茂波表示，香港未来有多项大型基建工程项目陆续开展，根据建造业议会预计，未来十年每年公私营整体工程将超过2,500亿元，相信行业未来对人手需求仍然相当恳切。
Housed in a building converted from an old factory estate, the JCCAC supports the nurturing of local creative talent and promotion of arts and culture through providing arts studios as well as display and performing venues for artists.	赛马会创意艺术中心由旧式工厦改建而成，为文化艺术工作者提供工作室、展示和表演场地，培育本地创意人才和推广艺术文化。
Financial Secretary:	财政司司长：
In cumulative terms, during 2004-09, IVS visitors brought about additional spending totalling over HK$84.8 billion.	在二零零四至零九年期间，「个人游」访港旅客共带来累计超过港币848亿元的额外消费。
In the morning, Mr Tsang visited National ICT Australia, the nation's largest organisation dedicated to commercialisation of information communications technology research.	曾俊华上午参观澳洲国立资讯通讯科技研究中心。 中心是澳洲致力将资讯通讯科技研究商品化的最大机构。
Mr Tsang also proposed injecting $15 billion into the Community Care Fund. This, in addition to the original $5 billion government injection, would generate an annual investment return of $1 billion, Mr Tsang said.	曾俊华建议向关爱基金再注资一百五十亿元，连同基金原本五十亿元政府注资，预计每年的投资回报超过十亿元。
The Financial Secretary, Mr John C Tsang, today (June 3, Moscow time) continued his visit to Moscow with a high-level Hong Kong business delegation.	财政司司长曾俊华率领高层的香港商界代表团今日（莫斯科时间六月三日）继续在莫斯科进行访问。
Appointment of Deputy Chairman to Business Facilitation Advisory Committee	政府委任方便营商咨询委员会副主席
During the meeting, Members will also ask the Administration 20 questions on various policy areas, all of which require written replies.	在会议上，议员亦会就不同政策范畴向政府提出二十项质询，要求当局作出书面答复。
The Financial Secretary has instructed the Chief Executive of the Hong Kong Monetary Authority (HKMA) to set aside the investment return on the Government's fiscal reserves (about $27 billion) for the Housing Reserve. The HKMA is also responsible for the investment of the Housing Reserve.	财政司司长已经指示香港金融管理局（金管局）总裁，将二零一四年政府财政储备的全部投资收益（约为二百七十亿港元）拨入新设立的「房屋储备金」，并由金管局负责投资。
The Financial Secretary then had an audience with His Majesty the Sultan and Yang Di-Pertuan of Brunei Darussalam, Sultan Hassanal Bolkiah Mu'izzaddin Waddaulah.	财政司司长继而会见汶莱国家元首苏丹‧哈吉‧哈桑纳尔‧博尔基亚‧穆伊扎丁‧瓦达乌拉。
* On the economic and financial front, both sides signed a memorandum of understanding for banking supervisory co-operation and an air services arrangement in August and December 2011 respectively.	＊　在经贸金融方面，双方分别于二○一一年八月及十二月签署了银行监管合作了解备忘录及航空运输协议。
"The joint efforts of the three exchanges have great strategic significance and mark a milestone in financial co-operation amongst Shanghai, Shenzhen and Hong Kong.	「这是沪深港金融合作的新里程碑，三间交易所的合作，有重大的战略意义。
According to the joint announcement, Bond Connect will be formally launched after relevant rules and system development have been finalised, market participants' practical needs suitably addressed, relevant regulatory approvals granted and all other necessary preparations completed.	根据联合公告，债券通将在完成相关规则和系统建设、回应市场参与者实际需求、获得相关监管许可及其他所有必需的工作准备就绪后，正式启动。
He also proposed widening the tax bands from $35,000 to $40,000.	预算案亦建议把税阶由35,000元扩阔至40,000元。
He began his visit by meeting a group of Irish Fintech companies already operating in Hong Kong or looking to establish offices in Hong Kong.	他首先和多间现正在香港营运或计划在港开设业务的爱尔兰金融科技公司会面，向它们介绍本港在推展金融科技方面的最新措施。
Those taking part in the inaugural round of the Scheme include the Hong Kong Government and related agencies, Singapore Government-related agencies, international organisations, academic institutions, think tanks, arts and cultural groups and private companies.	参加首届香港大学生东盟实习计划的有香港政府及相关机构、新加坡政府的相关机构、国际组织、学术机构、智囊团、文化艺术团体和私人机构。
The Panel was established under the Securities and Futures Ordinance (Cap. 571) to arbitrate disputes between corporations licensed by the Securities and Futures Commission for carrying out leveraged foreign exchange trading and their clients.	委员会根据《证券及期货条例》（第571章）成立，对获证券及期货事务监察委员会发牌进行杠杆式外汇交易的法团与客户之间的争议进行仲裁。
Financial Secretary:	财政司司长：
The tax reduction will reduce the amount of tax payable by taxpayers for the year of assessment 2018-19. Taxpayers should file their profits tax returns and tax returns for individuals for the year of assessment 2018-19, to be issued in the coming April and May respectively, as usual.	这项宽减会减低纳税人二零一八／一九课税年度的应缴税款，他们只须如常填报分别于本年四月及五月份起发出的二零一八／一九课税年度的利得税报税表和个别人士报税表。
Sixth Hong Kong Macao Co-operation High Level Meeting (with photo)	第六次港澳合作高层会议（附图）
CEPA is the most liberalised free trade agreement signed by the Mainland creating new market access opportunities for both sides to achieve a win-win result.	《安排》是内地签署的最开放的自由贸易协议，它为双方提供新的市场准入条件，创造双赢。
He added that the Chief Secretary for Administration would set up a steering committee to co-ordinate government efforts in this area.	他又说，政务司司长将成立督导委员会，加强政府内部协作以支援少数族裔。
During Mr Tsang's hospitalisation, the Secretary for Financial Services and the Treasury, Professor K C Chan, will be Acting Financial Secretary for the time being.	财政司司长曾俊华住院期间，暂由财经事务及库务局局长陈家强署任财政司司长一职。
During Mr Tsang's absence, the Secretary for Development, Mrs Carrie Lam, will be the Acting Financial Secretary.	曾俊华离港期间，由发展局局长林郑月娥署任财政司司长一职。
The Wi-Fi.HK thematic website (www.wi-fi.hk) also provides information on free public Wi-Fi hotspots under Wi-Fi.HK and details of the brand.	此外，「Wi-Fi.HK」专题网站（www.wi-fi.hk）亦载有「Wi-Fi.HK」在全港的免费公共Wi-Fi热点和品牌的资讯详情。
Details of the Hong Kong/France CDTA can be found on the Inland Revenue Department's website (www.ird.gov.hk/eng/pdf/Agreement_France_HongKong.pdf).	有关香港与法国的全面性协定的详情（只有英文版本）载于税务局网页（www.ird.gov.hk/eng/pdf/Agreement_France_HongKong.pdf）。
Also on the panel were, among others, the Chairman of the London Stock Exchange, Mr Chris Gibson-Smith, and the Managing Director of Paris Europlace, Mr Arnaud de Bresson.	出席论坛的还包括伦敦交易所主席Dr Chris Gibson-Smith和Paris Europlace 总经理Arnaud de Bresson。
They discussed the economic outlook in Europe and the latest developments of offshore Renminbi business in Hong Kong.     Mr Tsang visited the Warsaw Stock Exchange, which is one of the fastest growing exchanges in Europe, and met with its President, Mr Pawel Tamborski, to better understand the operations there.	他继而参观华沙证券交易所，与主席Pawel Tamborski会面，了解交易所的运作情况。 华沙证券交易所是欧洲其中一个发展快速的交易所。
* Ms Jennifer Liu (Chairman and Founder of the Coffee Academїcs and HABITŪ)	＊　廖伟芬（The Coffee Academїcs and HABITŪ主席兼创办人）
Members gave their views and appreciated the resilience of the financial system and markets, which could rise to challenges under events and developments that might result in sudden and significant market disruption.	委员就此发表意见，认同香港的金融体系及市场稳健，能够应对突发和引致市场重大震荡的事件。
Convenor of ExCo Non-official Members:	行政会议非官守议员召集人陈智思：
This Budget strictly follows the principle of keeping expenditure within the limits of revenue while making long-term investments for the sustained and long-term economic development of Hong Kong.	这份预算案既紧守量入为出的原则，亦同时为香港长远和持续的经济发展作出长远投资；
Ends/Tuesday, June 25, 2013Issued at HKT 22:03	２０１３年６月２５日（星期二）香港时间２２时０１分
Under the Scheme, Hong Kong university students can take up internship in an ASEAN member state for eight to 10 weeks during the summer months from May to the end of August.	参与该计划的香港大学生在东盟地区于五月至八月底期间，参加为期八至十周的实习工作。
Greeted on site by the District Officer (Eastern), Mr Davis Hui, and the Director of Richmond Fellowship of Hong Kong, Dr Fung Cheung-tim, Mr Tsang was briefed on the operation of the New Jade Manufacturing Centre which is tasked to provide integrated vocational rehabilitation service for formerly mentally ill persons.	东区民政事务专员许英扬和利民会总干事冯祥添博士在场迎接曾俊华，并由新翠实业社管理层向他讲述社内的服务及运作。 目前，新翠实业社为精神病康复者提供综合职业复康服务。
Financial Secretary:	财政司司长：
The global economy is still subject to the influence of a number of external factors.	展望短期之内，环球经济仍然是会有不少的不利因素存在。
It will enable eligible overseas investors to access, for the first time, the Mainland interbank bond market through infrastructural connection established between the Mainland and overseas bond markets.	这将会是内地第一次允许合资格的境外投资者通过内地与境外债券市场的基建连接，投资内地银行间债券市场。
Mr Tsang and the Secretary for Commerce and Economic Development, Mr Frederick Ma, during their visits to Beijing in August, had also relayed the industry's worries and concerns to various ministries and followed up on the standing book deposit issue and related suggestions.	财政司司长曾俊华及商务及经济发展局局长马时亨于八月分别到访北京时，亦一再向多个相关部委反映港商的忧虑和关注，包括台账实转的问题和跟进有关建议。
Mr Tsang also made a courtesy call on Chicago Mayor Rahm Emanuel.	曾俊华也拜会了芝加哥市长Rahm Emanuel。
On Hong Kong-Zhuhai-Macao Bridge (HZMB), both sides would continue to seize the time to take forward construction work and work towards forging an early consensus on cross-boundary transport arrangements upon the opening of HZMB, with a view to maximising the HZMB's functions of promoting regional economic development and facilitating interflow.	港珠澳大桥方面，双方来年会继续抓紧时间推进相关工程，并且争取早日就大桥通车后的跨境交通安排达成共识，以期全面发挥大桥的推动区域经济和紧密交流方面的功能。
"In the long run, we need to leave room for developing other kinds of bonds, including conventional fixed-rate bonds, for the development of a more mature bond market in Hong Kong."	「长远而言，我们需要预留空间发展其他形式的债券，包括常规的定息债券，使香港的债券市场更成熟发展。」
But there are also generic reform issues that could be addressed by the region as a whole.	话虽如此，我们整个区域也可处理一些共通的改革事项。」
* SME policyholders will be allowed to insure their exports only for places and buyers of their choice under specific circumstances;	＊　中小企保户在特定的情况下可以选择只投保某些出口地区及买家；
Ends/Friday, June 16, 2017	2017年6月16日（星期五）
Mr Chan also briefed Mr Fu on Hong Kong’s recent economic performance, including the latest developments of the financial market and the banking system as well as the Government’s support measures for enterprises.	陈茂波亦介绍了香港近期的经济表现，包括金融市场和银行系统等的最新发展，以及特区政府支援企业的措施等。
HKSAR Government welcomes issuance of bills in Hong Kong by People's Bank of China	特区政府欢迎中国人民银行在香港发行票据
The following is issued on behalf of the Hospital Authority:	下稿代医院管理局发出：
Mr Tsang paid courtesy calls on the Prime Minister of Singapore, Mr Lee Hsien Loong, and the Emeritus Senior Minister of Singapore, Mr Goh Chok Tong, separately.	曾俊华分别拜会新加坡总理李显龙及新加坡荣誉国务资政吴作栋。
The Financial Secretary, Mr John C Tsang, on behalf of the Government of the Hong Kong Special Administrative Region, today (November 18), signed in Bucharest an agreement on the avoidance of double taxation with Romania.	财政司司长曾俊华今日（十一月十八日）在布加勒斯特代表香港特别行政区政府与罗马尼亚就避免双重课税签署协定。
Mr Chan then visited Yan Chai Hospital and the Yan Chai Hospital - Hong Kong Baptist University Chinese Medicine Centre for Training and Research (Yan Chai).	随后，陈茂波到访仁济医院，参观「仁济医院－香港浸会大学中医教研中心（仁济）」。
At the 7th ASEAN and Asia Forum, Mr Tsang outlined the multiple roles of Hong Kong as the gateway to China, a global business centre, a global financial centre and a global aviation and logistics centre, and pointed out that Hong Kong business people are pioneer investors in some ASEAN economies.	在第七届东盟及亚洲论坛上，曾俊华概述香港担当多重角色，既是通往中国内地市场的最便利门户，亦是全球商业中心、金融中心、航运和物流中心，而且香港商人更是东盟经济体的投资先锋。
Accompanied by Mr Lau and Mr Phillips, Mr Chan then called on the Minister of Economy and Industry of Israel, Mr Eli Cohen.	陈茂波一行其后与以色列经济和工业部长埃利·科亨会面。
Ends/Saturday, March 12, 2016Issued at HKT 07:25	２０１６年３月１２日（星期六）香港时间７时２４分
We shall continue to monitor the market closely. And if necessary, we shall introduce further measures to maintain the healthy and stable development of our market.	确保楼市健康平稳发展是持续的工作，我们会继续密切监察楼市。
* Reducing salaries tax by 75 per cent for 2012-13, subject to a ceiling of $10,000.	＊　宽减二零一二／一三年度百分之七十五的薪俸税及个人入息课税，上限为一万元；
The Financial Secretary today delivered the Budget Speech for 2017-18, providing financial resources to support the implementation of initiatives announced in my Policy Address in January. These initiatives will enable the current-term Government to further fulfil its pledges including supporting the development of innovation and technology, increasing land supply, alleviating poverty, caring for the elderly, supporting the disadvantaged and improving the livelihood of the grassroots.	财政司司长今日发表了二零一七／一八年度《财政预算案》，在财政资源上配合我在一月公布的《施政报告》中的各项措施，进一步落实本届政府在推动创科发展、增加土地供应，以至扶贫、安老、助弱、改善基层市民生活等多方面的承担。
Members of the public are welcome to observe the proceedings of the meeting from the public galleries of the Chamber of the LegCo Complex.	欢迎市民在立法会综合大楼会议厅公众席旁听会议；
The agenda of the above meeting can be obtained via the LegCo Website (www.legco.gov.hk).	公众人士可透过立法会网页（www.legco.gov.hk）索取上述会议的议程。
Mr Chan designated $1.2 billion to establish the Hong Kong Genome Institute and take forward the project to help promote the clinical application of genomic medicine and related innovative scientific research.	陈茂波亦将拨款约12亿元成立香港基因组中心及推展计划，促进基因组医学的临床应用和创新科研发展。
He then attended a sharing session with Hong Kong students studying at universities in the Washington area.	他继而出席分享会，会晤来自华盛顿多间大学的香港留学生。
Before concluding his visit to Toronto and departing for Ottawa, Mr Tsang attended a reception hosted for Chinese community leaders and briefed them on Hong Kong's latest economic developments.	傍晚，曾俊华出席多伦多香港社区酒会，向当地华人介绍香港的最新经济情况，然后转赴渥太华。
The above proposed tax measures will be effected by amending the relevant ordinances.	上述措施须在相关法例修订后才会实施。
Tin Ching Amenity and Community Building, Tin Shui Wai	天水围天晴社区综合服务大楼
The Hong Kong Special Administrative Region Government will render full support in achieving these initiatives."	特区政府会全力配合与支持，落实有关合作。」
Limited copies will also be available from the Public Enquiry Service Centres of the Home Affairs Department after tomorrow, on a first-come-first-served basis. An online version will also be uploaded onto the Budget website (www.budget.gov.hk) at the same time.	市民明日后可到各区民政事务处咨询服务中心索取漫画，数量有限，派完即止，或在财政预算案网站（www.budget.gov.hk）浏览。
They agreed to strengthen collaboration on economic and trade fronts.	其后，曾俊华与菲律宾财政部部长塞萨尔‧普里斯玛会面，两人同意加强经贸合作。
Mr Tsang said recurrent expenditure on social welfare for 2011-12 would reach $42.2 billion, an increase of $4.2 billion over 2010-11 – the greatest spending growth for any policy area group.	曾俊华说，社会福利经常开支预计在二○一一至一二年度会达422亿元，比上年度增加42亿元，是开支增长数额最大的政策组别。
